Formula,Avg Pearson,Std Pearson,Avg MAE
Ratio: (n/(e+0.01)) + c,0.4124544097778519,0.4376318716783603,1.2723108391350069
Interaction: n + (n*c) - e,0.3955090409766502,0.45739437412904027,1.2317870498935721
SigmoidLinear: σ(5n + c - 3e),0.3693641829149979,0.4652603791119164,1.2475714116213135
Linear: n*1.5 + c*0.5 - e*0.8,0.35460325364706097,0.4776983403170057,1.2617655604943876
Linear: n*1.3 + c*0.5 - e*0.8,0.34591622969446006,0.48341141729359777,1.26633046806345
Linear: n*1.5 + c*0.5 - e*1.1,0.3437912873912599,0.4846971285421851,1.267779530215191
Linear: n*1.1 + c*0.5 - e*0.8,0.33452703774070364,0.48934226684092735,1.2784923420899537
Linear: n*1.3 + c*0.5 - e*1.1,0.33452702744870527,0.48934226465001285,1.2784923854041952
Linear: n*1.5 + c*0.5 - e*1.5,0.3345270207588933,0.4893422632259274,1.2784924135584659
Linear: n*1.3 + c*0.5 - e*1.5,0.32416597930391994,0.49231162636551057,1.2937325339105545
Linear: n*1.1 + c*0.5 - e*1.1,0.3214427680710924,0.4927309344176145,1.2970592725520032
Linear: n*1.0 + c*0.5 - e*0.8,0.3167450067101874,0.49318635806923894,1.302734804268405
Linear: n*1.1 + c*0.5 - e*1.5,0.30878321768165096,0.4934328974321178,1.313397556998186
Linear: n*1.0 + c*0.5 - e*1.1,0.2997388163162174,0.49332124103993813,1.3264938020191845
Linear: n*1.5 + c*1.0 - e*0.8,0.2969413219171955,0.49324616056397413,1.3310874758526192
Linear: n*1.0 + c*0.5 - e*1.5,0.2841312024569853,0.49269673534223973,1.353521599426936
Linear: n*1.5 + c*1.0 - e*1.1,0.2823588529428433,0.4925889610648287,1.357124736834867
Linear: n*0.8 + c*0.5 - e*0.8,0.28170547580892513,0.4925470011134457,1.3585059358098077
Sigmoid: σ(15n) + c - σ(15e),0.2771399179832028,0.4913761390987303,1.324213153572667
Linear: n*1.5 + c*1.0 - e*1.5,0.26940345525958176,0.4915440283910992,1.3855697455445126
Sigmoid: σ(10n) + c - σ(10e),0.26744629092594063,0.49204984822915826,1.357769684444162
Linear: n*0.8 + c*0.5 - e*1.1,0.2610710172710628,0.49069539979835963,1.4038054645338005
Linear: n*1.3 + c*1.0 - e*0.8,0.2604592677627108,0.4906306277775113,1.4053945918144828
Linear: n*1.3 + c*1.0 - e*1.1,0.24481894673401502,0.4890099942519204,1.4390737724019118
Linear: n*0.8 + c*0.5 - e*1.5,0.24413916120779966,0.488944294417371,1.4403573152267306
Linear: n*1.3 + c*1.0 - e*1.5,0.23157926863767322,0.4878290959018218,1.4627102663761828
Linear: n*1.1 + c*1.0 - e*0.8,0.19366084442599188,0.4845293734064727,1.5276776780456531
