Formula,Avg Pearson,Std Pearson,Avg MAE
Sigmoid: σ(10n) + c - σ(10e),0.30444210385698195,0.4287711953391033,1.34551378539469
Sigmoid: σ(15n) + c - σ(15e),0.30411509356998995,0.42084898796938963,1.334572976882402
Sigmoid: σ(5n) + c - σ(5e),0.30048809455394965,0.44624672823681166,1.3742093527804304
Threshold: (n>0.3) + c - (e>0.3),0.24985849724335898,0.4160040354785107,1.5296564022377097
Linear: n*0.8 + c*1.5 - e*0.8,0.24964078869277417,0.45920367900189973,1.4880651774116584
Linear: n*0.8 + c*1.5 - e*1.1,0.23315397865298867,0.46031247912895235,1.5303757472307329
Linear: n*0.8 + c*1.5 - e*1.5,0.220208321107813,0.4609144064584835,1.565092327197922
Linear: n*1.0 + c*1.5 - e*0.8,0.21804509134332328,0.4609948936183398,1.5711274531938701
Linear: n*1.0 + c*1.5 - e*1.1,0.20496236247308158,0.4613889009332386,1.609903436217979
Linear: n*1.0 + c*1.5 - e*1.5,0.19463719376888242,0.46163080209496493,1.6418419900807784
Linear: n*1.1 + c*1.5 - e*0.8,0.1841587546510106,0.46187429710540473,1.6732015061278578
Linear: n*1.1 + c*1.5 - e*1.1,0.17468943129440934,0.46214249299457616,1.6996040293671884
Linear: n*1.1 + c*1.5 - e*1.5,0.16727678144493677,0.46241250957887836,1.7206984077292504
Linear: n*0.8 + c*1.0 - e*0.8,0.16457302235016122,0.46252794104678097,1.7283579069719672
Linear: n*0.8 + c*1.0 - e*1.1,0.15566463093843344,0.46298289646239943,1.7534521524110174
Threshold: (n>0.5) + c - (e>0.5),0.15209407211120307,0.4666138982673696,1.579259803838884
Linear: n*0.8 + c*1.0 - e*1.5,0.14916276297014952,0.46339304203593545,1.7717543703923204
Linear: n*1.3 + c*1.5 - e*0.8,0.14719723477609598,0.4635303482102249,1.7768438144401821
Linear: n*1.3 + c*1.5 - e*1.1,0.1421285613014426,0.4639122966592732,1.7891465677360754
Linear: n*1.3 + c*1.5 - e*1.5,0.1382264855753006,0.46423236641228377,1.798588857399227
Linear: n*1.0 + c*1.0 - e*0.8,0.11567377305795672,0.4663813893824592,1.8511709740919948
Linear: n*1.0 + c*1.0 - e*1.1,0.11453417499143065,0.4664949531090308,1.853723627650431
Linear: n*1.0 + c*1.0 - e*1.5,0.11371463678561719,0.4665763578008062,1.8555646413464482
Threshold: (n>0.7) + c - (e>0.7),0.1135846363931889,0.42007095193484933,1.6955870118230245
Linear: n*1.5 + c*1.5 - e*0.8,0.10870081672051929,0.4670663206807172,1.8649695091095655
Linear: n*1.5 + c*1.5 - e*1.1,0.1087007981838557,0.4670663159803881,1.8649695811631786
Linear: n*1.5 + c*1.5 - e*1.5,0.10870078397241865,0.4670663123767919,1.8649696364042831
Ratio: (n/(e+0.01)) + c,0.100918047090283,0.35997818049688696,1.4902999822167464
Linear: n*1.1 + c*1.0 - e*1.5,0.07972167119431997,0.4690941131176811,1.8740781211025381
Linear: n*1.1 + c*1.0 - e*1.1,0.07523003722119254,0.4692152687380433,1.874150314165198
Linear: n*1.1 + c*1.0 - e*0.8,0.06910941099904054,0.4692825731547988,1.8742010256296329
Exp: n + c*exp(-2*e),0.06641982363951891,0.4738588138815646,1.9044021058491898
Linear: n*1.3 + c*1.0 - e*1.5,0.049135303840321526,0.46880830926267,1.8682170953975743
Linear: n*0.8 + c*0.5 - e*1.5,0.04109904579215541,0.468408235253975,1.865268770031057
Linear: n*1.3 + c*1.0 - e*1.1,0.0406416617907186,0.46838356863016867,1.865108311789234
Linear: n*1.3 + c*1.0 - e*0.8,0.02943887091753626,0.467757062506188,1.8624658213843954
