Formula,Avg Pearson,Std Pearson,Avg MAE
Threshold: (n>0.5) + c - (e>0.5),-0.025951250721136934,0.4050412044318248,1.975056982097396
Threshold: (n>0.3) + c - (e>0.3),-0.027153898228225226,0.413575786045507,1.9795695211569992
Threshold: (n>0.7) + c - (e>0.7),-0.0457483636923441,0.4164308904970674,1.981201133015356
Linear: n*0.8 + c*1.5 - e*0.8,-0.056532931335716734,0.38612492349800315,1.9708758627068428
Exp: n + c*exp(-2*e),-0.06612257564415329,0.43961361501707225,2.0039564053957704
Linear: n*0.8 + c*1.5 - e*1.1,-0.06731449548812035,0.3915291344393874,1.985988984540723
Sigmoid: σ(5n) + c - σ(5e),-0.07211033001532455,0.3639238757968664,1.9460663079312226
Linear: n*0.8 + c*1.5 - e*1.5,-0.07550382690578342,0.3959095199907112,1.9976616730011052
Linear: n*1.0 + c*1.5 - e*0.8,-0.07684753723660269,0.39665450998720264,1.9995189970349292
Linear: n*1.0 + c*1.5 - e*1.1,-0.08482434465933343,0.40125700238404605,2.0098838573564346
Sigmoid: σ(10n) + c - σ(10e),-0.08797537244076398,0.37664835403431657,1.9224997099855619
Sigmoid: σ(15n) + c - σ(15e),-0.08985761951491467,0.3799174681760585,1.8881516276030719
Linear: n*1.0 + c*1.5 - e*1.5,-0.09094737054638896,0.4050382641845869,2.0168648470703165
Linear: n*1.1 + c*1.5 - e*0.8,-0.09701922549044639,0.409057259761327,2.0247312686469052
Linear: n*1.1 + c*1.5 - e*1.1,-0.10238951114913647,0.41288185988780873,2.030832731026637
Linear: n*1.1 + c*1.5 - e*1.5,-0.10651134570604814,0.41600913114507937,2.0346194289892843
Linear: n*0.8 + c*1.0 - e*0.8,-0.1079941575131925,0.4171749580307619,2.0357357031737107
Linear: n*1.5 + c*1.5 - e*1.5,-0.11163664184247131,0.4490527255701396,2.067918028972215
Linear: n*1.5 + c*1.5 - e*1.1,-0.11163673247816351,0.4490528913821209,2.067918289858365
Linear: n*1.5 + c*1.5 - e*0.8,-0.11163685068768832,0.44905310759949946,2.0679186301416226
Linear: n*0.8 + c*1.0 - e*1.1,-0.11278091100991498,0.4210616854155189,2.0378773759331454
Linear: n*0.8 + c*1.0 - e*1.5,-0.11614762831644407,0.42384510544639264,2.0399659224927933
Linear: n*1.3 + c*1.5 - e*0.8,-0.11713743623306701,0.42465205922236193,2.041181811565544
Linear: n*1.3 + c*1.5 - e*1.1,-0.11961283003294781,0.42658798285955396,2.0451691475854643
Linear: n*1.3 + c*1.5 - e*1.5,-0.12142435527891846,0.42784978683470304,2.0475200929261814
Linear: n*1.0 + c*1.0 - e*1.1,-0.12646800051248863,0.41307065447295443,2.0456728447198023
Linear: n*1.0 + c*1.0 - e*1.5,-0.12654764913560604,0.41105020107472534,2.0444635443732375
Linear: n*1.0 + c*1.0 - e*0.8,-0.12658521458666167,0.41588351551714947,2.0475126717715715
Quadratic: n² + c - e²,-0.13669684552614375,0.4089369873350201,2.1025154254924856
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),-0.15313799621402366,0.433036015952466,2.007027629509707
Linear: n*1.1 + c*1.0 - e*1.5,-0.16751518616495292,0.40102602406555515,2.05274185414295
Linear: n*1.1 + c*1.0 - e*1.1,-0.17208807445602747,0.4005142704285073,2.052920504381077
Linear: n*1.1 + c*1.0 - e*0.8,-0.17747263458404236,0.40040169818036336,2.054664910952874
Linear: n*1.3 + c*1.0 - e*1.5,-0.19050776054868415,0.402625896522146,2.0553444904235256
Linear: n*0.8 + c*0.5 - e*1.5,-0.19454662149578983,0.40397980658428184,2.056074099296582
