Formula,Avg Pearson,Std Pearson,Avg MAE
Sigmoid: σ(15n) + c - σ(15e),0.2812372853939905,0.40216859737787536,1.3791031714983837
Sigmoid: σ(10n) + c - σ(10e),0.23341291544299647,0.3809769503112812,1.4433753499169129
Sigmoid: σ(5n) + c - σ(5e),0.17612770775859482,0.3594495092276932,1.55022741174995
Linear: n*0.8 + c*1.5 - e*0.8,0.17182166921969982,0.36198047467419253,1.5576491861858117
Linear: n*0.8 + c*1.5 - e*1.1,0.16937382290772823,0.36086931615878837,1.5623251342953002
Quadratic: n² + c - e²,0.168794232803608,0.3611011516660859,1.5602894529093934
Linear: n*0.8 + c*1.5 - e*1.5,0.16767295473093907,0.36007292649192835,1.5654368266795062
Linear: n*1.0 + c*1.5 - e*0.8,0.167406300913094,0.3599460066496389,1.56585305372159
Linear: n*1.0 + c*1.5 - e*1.1,0.16589336626141615,0.3592135621573072,1.5682161952762734
Linear: n*1.0 + c*1.5 - e*1.5,0.1648113118682708,0.3586756915820034,1.5699088793003033
Linear: n*1.1 + c*1.5 - e*0.8,0.16380352678553547,0.3581628143037632,1.5714883165435622
Linear: n*1.1 + c*1.5 - e*1.1,0.16296272166292416,0.3577250427789591,1.5728074478747192
Linear: n*1.1 + c*1.5 - e*1.5,0.16234581132190223,0.35739760457754155,1.5738229402236068
Linear: n*0.8 + c*1.0 - e*0.8,0.1621290276790035,0.3572812205893487,1.5741887928660456
Linear: n*0.8 + c*1.0 - e*1.1,0.16144313706007113,0.3569080816993394,1.5753486297536434
Linear: n*0.8 + c*1.0 - e*1.5,0.16096744712490946,0.35664471764748984,1.5761552418251124
Linear: n*1.3 + c*1.5 - e*0.8,0.16082736477376963,0.35656645912233936,1.5763931529161705
Linear: n*1.3 + c*1.5 - e*1.1,0.16047356238803984,0.35636708289008795,1.576994840125625
Linear: n*1.3 + c*1.5 - e*1.5,0.16020794150634549,0.35621585763198055,1.5774473586860396
Linear: n*1.0 + c*1.0 - e*0.8,0.15876533675542248,0.35536941384375575,1.5799185149695472
Linear: n*1.0 + c*1.0 - e*1.1,0.15869583005768523,0.35532745347450573,1.580038218896481
Linear: n*1.0 + c*1.0 - e*1.5,0.1586460069073883,0.3552973055392245,1.5801240635508171
Linear: n*1.5 + c*1.5 - e*1.5,0.15834393864799123,0.35511333468388134,1.5806452510513274
Linear: n*1.5 + c*1.5 - e*1.1,0.15834393468576383,0.355113344293006,1.580645258161503
Linear: n*1.5 + c*1.5 - e*0.8,0.15834392951763454,0.35511335682662865,1.5806452674356497
Linear: n*1.1 + c*1.0 - e*1.5,0.1566674376415678,0.35404820548922905,1.583563495549678
Linear: n*1.1 + c*1.0 - e*1.1,0.15641500016342816,0.3538806606471947,1.5840072096553732
Linear: n*1.1 + c*1.0 - e*0.8,0.15607321303317456,0.35365046881193335,1.5846100298713164
Linear: n*1.3 + c*1.0 - e*1.5,0.15497118635215873,0.3528795082595409,1.586570188894182
