Formula,Avg Pearson,Std Pearson,Avg MAE
Threshold: (n>0.3) + c - (e>0.3),0.17605720524295898,0.42025536822489057,1.5268786687155451
Sigmoid: σ(5n) + c - σ(5e),0.17339619557144345,0.3809800614056754,1.426090356263492
Sigmoid: σ(10n) + c - σ(10e),0.16320631232234356,0.38863832616341953,1.515915431370678
Sigmoid: σ(15n) + c - σ(15e),0.1547090715033434,0.3976853839941499,1.5698656711986083
Linear: n*0.8 + c*1.5 - e*0.8,0.11024669134433498,0.3906630212708283,1.5049096244712954
Threshold: (n>0.5) + c - (e>0.5),0.09162054711190151,0.447278038988022,1.6160149565322761
Linear: n*0.8 + c*1.5 - e*1.1,0.09103511694758071,0.3928737900004728,1.525031590127203
Linear: n*0.8 + c*1.5 - e*1.5,0.07592996958851277,0.3942138793541518,1.5366801172797382
Linear: n*1.0 + c*1.5 - e*0.8,0.07339802162615881,0.39440313573545976,1.538407323048744
Linear: n*1.0 + c*1.5 - e*1.1,0.05798326765764551,0.39532138294154534,1.548511652727429
Linear: n*1.0 + c*1.5 - e*1.5,0.045600150998159845,0.395723279261069,1.5598257060464
Linear: n*1.1 + c*1.5 - e*0.8,0.03266921171412777,0.39571816226661394,1.5701589538961451
Linear: n*1.1 + c*1.5 - e*1.1,0.020456894877173115,0.39516325125548,1.5821207353275493
Linear: n*1.1 + c*1.5 - e*1.5,0.0103502875320578,0.39416465461368155,1.5952507810579302
Linear: n*0.8 + c*1.0 - e*0.8,0.006499769817830184,0.3936306091750698,1.6010829347090971
Linear: n*0.8 + c*1.0 - e*1.1,-0.007044640944757513,0.3909851567945722,1.6204263620164343
Linear: n*0.8 + c*1.0 - e*1.5,-0.018071122546198675,0.38789170526426586,1.6342089112794205
Linear: n*1.3 + c*1.5 - e*0.8,-0.021659594826229422,0.38670227388100287,1.6393394318963044
Linear: n*1.3 + c*1.5 - e*1.1,-0.03160949808107788,0.3829591169189168,1.6522198289079242
Linear: n*1.3 + c*1.5 - e*1.5,-0.040114517033479846,0.3792754791457682,1.6625566170417039
Threshold: (n>0.7) + c - (e>0.7),-0.07037292905989544,0.4759727299863858,1.8350795487547953
Linear: n*1.0 + c*1.0 - e*0.8,-0.12862155987161056,0.33941325040562625,1.760192025321515
Linear: n*1.0 + c*1.0 - e*1.1,-0.1372799372827521,0.34023164027757974,1.764537806331338
Linear: n*1.0 + c*1.0 - e*1.5,-0.1438501275986706,0.3417817223933267,1.768391481960213
Linear: n*1.5 + c*1.5 - e*1.5,-0.17802600990204742,0.3613662980997806,1.8060308257190294
Linear: n*1.5 + c*1.5 - e*1.1,-0.17802604192979066,0.361366217653848,1.8060303641532147
Linear: n*1.5 + c*1.5 - e*0.8,-0.17802608370131895,0.3613661127248378,1.8060297621192407
Linear: n*1.1 + c*1.0 - e*1.5,-0.22643886558337462,0.3814514011855556,1.8229800185159708
Exp: n + c*exp(-2*e),-0.22747417440652287,0.3600001478183096,1.8633437440481697
Linear: n*1.1 + c*1.0 - e*1.1,-0.2332548865117154,0.38154585917527645,1.820417926886277
Linear: n*1.1 + c*1.0 - e*0.8,-0.24233090170869542,0.38187530851545703,1.8189044296681807
Linear: n*1.3 + c*1.0 - e*1.5,-0.27001835896045345,0.3844816588332345,1.8171567052209479
Linear: n*0.8 + c*0.5 - e*1.5,-0.2802350100792017,0.3859880562462985,1.817838153565242
Linear: n*1.3 + c*1.0 - e*1.1,-0.2808002330055927,0.3860779581640113,1.817877267092443
Linear: n*1.3 + c*1.0 - e*0.8,-0.29410588768007273,0.3883376031325539,1.8190061593773852
Linear: n*0.8 + c*0.5 - e*1.1,-0.29463728433159786,0.3884321219051718,1.8190544756859108
Linear: n*1.5 + c*1.0 - e*1.5,-0.3019547537058197,0.38974971456782803,1.8200574386387403
Linear: n*0.8 + c*0.5 - e*0.8,-0.3130408876405949,0.39174857967203114,1.8253208117955242
Linear: n*1.5 + c*1.0 - e*1.1,-0.3136402094958659,0.39185489101593757,1.8256605848708858
Interaction: n + (n*c) - e,-0.3145537716083525,0.4004526564999704,1.8719144406444688
Linear: n*1.0 + c*0.5 - e*1.5,-0.31527186486329767,0.39214279839087374,1.8266695876321197
Quadratic: n² + c - e²,-0.32164066493639953,0.3769532117907966,1.8455824793642155
Ratio: (n/(e+0.01)) + c,-0.3265803210418422,0.3775455235861308,1.87013220351918
Linear: n*1.5 + c*1.0 - e*0.8,-0.3273813807563812,0.394180139971101,1.8373308718713748
Linear: n*1.0 + c*0.5 - e*1.1,-0.33012135823696864,0.3946094200006612,1.840172817933692
Linear: n*1.1 + c*0.5 - e*1.5,-0.339332501374524,0.39594136307108163,1.8498765484368076
SigmoidLinear: σ(5n + c - 3e),-0.34140428111816506,0.392702350693211,2.051589229414673
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),-0.3425365771679019,0.4030575305954096,1.9641298975036316
Linear: n*1.0 + c*0.5 - e*0.8,-0.34805257784533283,0.3970198383674819,1.8588009585940388
Linear: n*1.1 + c*0.5 - e*1.1,-0.35354303641653495,0.39759656484550615,1.8645968899392884
Linear: n*1.3 + c*0.5 - e*1.5,-0.35685363071726034,0.39790356447603004,1.8685176410312192
Linear: n*1.5 + c*0.5 - e*1.5,-0.3702303688004508,0.39881107631855134,1.8847153575712152
Linear: n*1.3 + c*0.5 - e*1.1,-0.3702303743051997,0.39881107484147066,1.884715404567374
Linear: n*1.1 + c*0.5 - e*0.8,-0.3702303827738834,0.39881107256895354,1.8847154768692271
Linear: n*1.5 + c*0.5 - e*1.1,-0.38275460107096826,0.399135667972735,1.9018127606399644
Linear: n*1.3 + c*0.5 - e*0.8,-0.3856096428697299,0.3991315909748395,1.9056389580876154
Linear: n*1.5 + c*0.5 - e*0.8,-0.3968883100912731,0.39879456582630934,1.9181493419385476
