Formula,Avg Pearson,Std Pearson,Avg MAE
Sigmoid: σ(15n) + c - σ(15e),-0.06965295799261546,0.36082152405897544,1.7482659454778915
Sigmoid: σ(10n) + c - σ(10e),-0.07064703764415795,0.38037667462808744,1.754232567860269
Sigmoid: σ(5n) + c - σ(5e),-0.07222186546395476,0.41461186805269756,1.7492873518655288
Linear: n*0.8 + c*1.5 - e*0.8,-0.07337726720765111,0.40360104884804066,1.7628124672947272
Threshold: (n>0.3) + c - (e>0.3),-0.08667477963391901,0.3997124350869711,1.8572750968168763
Linear: n*0.8 + c*1.5 - e*1.1,-0.10641143992595278,0.39692942397693454,1.8018611122728896
Linear: n*0.8 + c*1.5 - e*1.5,-0.13457622300182318,0.39241592815165316,1.8342986915626383
Linear: n*1.0 + c*1.5 - e*0.8,-0.13940773259268963,0.3917643401208487,1.8392388430028686
Linear: n*1.0 + c*1.5 - e*1.1,-0.16901889016950622,0.3886882997077401,1.8691567842731343
Linear: n*1.0 + c*1.5 - e*1.5,-0.19243676181826588,0.38769573568173976,1.8858090434935892
Linear: n*1.1 + c*1.5 - e*0.8,-0.21565831342215686,0.3886113493978339,1.8934242931874217
Linear: n*1.1 + c*1.5 - e*1.1,-0.2356176883333863,0.3915814449490693,1.9048265996916005
Threshold: (n>0.7) + c - (e>0.7),-0.2406011866345831,0.42241321039141505,1.8219758765225276
Linear: n*1.1 + c*1.5 - e*1.5,-0.250201631473567,0.39546738338231124,1.9143514590780648
Linear: n*0.8 + c*1.0 - e*0.8,-0.2552400636902911,0.397223171222276,1.9177292606572405
Linear: n*0.8 + c*1.0 - e*1.1,-0.2706211434102823,0.40420158041876236,1.9297959932014819
Linear: n*0.8 + c*1.0 - e*1.5,-0.28060554340305055,0.4102693952515244,1.9370831506030597
Linear: n*1.3 + c*1.5 - e*0.8,-0.2834329725942402,0.41219763830806394,1.9398610861201795
Linear: n*1.3 + c*1.5 - e*1.1,-0.2904596631278934,0.41702617325846214,1.9525580596951773
Linear: n*1.3 + c*1.5 - e*1.5,-0.2959142097247231,0.41992866928226075,1.9610988159179754
Threshold: (n>0.5) + c - (e>0.5),-0.32734718128665563,0.41974340230275137,1.917987853583698
Linear: n*1.0 + c*1.0 - e*0.8,-0.3482229348375643,0.3910411555957593,2.0000521776628277
Linear: n*1.0 + c*1.0 - e*1.1,-0.35079700403936076,0.3899706024436125,2.0005412370089006
Linear: n*1.0 + c*1.0 - e*1.5,-0.3525753234744737,0.3893118124737355,2.0008200478397598
Linear: n*1.5 + c*1.5 - e*1.5,-0.36225336134983505,0.38684781457118383,2.0001570696163467
Linear: n*1.5 + c*1.5 - e*1.1,-0.3622533756383702,0.3868478031943861,2.0001570719530006
Linear: n*1.5 + c*1.5 - e*0.8,-0.3622533942755898,0.3868477883550874,2.000157075000813
Ratio: (n/(e+0.01)) + c,-0.3741416002807102,0.41751917262917715,1.9973021245100333
Exp: n + c*exp(-2*e),-0.39123274084571485,0.39146284678114546,2.0347917167266543
Linear: n*1.1 + c*1.0 - e*1.5,-0.3965438348762572,0.388763876206308,2.008992936594775
Linear: n*1.1 + c*1.0 - e*1.1,-0.40023369646064805,0.38942719235073053,2.0072245336298806
Linear: n*1.1 + c*1.0 - e*0.8,-0.4048695550532642,0.3902721245422263,2.0042815524698643
Linear: n*1.3 + c*1.0 - e*1.5,-0.4175677798272665,0.39241568357247864,1.9907670198863106
Quadratic: n² + c - e²,-0.41793246020950636,0.38046222157451415,1.9094059686904654
Linear: n*0.8 + c*0.5 - e*1.5,-0.42185618597859414,0.393011295755039,1.986743498032375
Linear: n*1.3 + c*1.0 - e*1.1,-0.4220885395199415,0.39304093762674674,1.9865432901432165
Interaction: n + (n*c) - e,-0.4267883555218018,0.3867658363299561,1.9973722149751787
Linear: n*1.3 + c*1.0 - e*0.8,-0.42742374688859774,0.393636828997333,1.9815271100818468
Linear: n*0.8 + c*0.5 - e*1.1,-0.42763165938322023,0.39365651573150773,1.9813143432670715
Linear: n*1.5 + c*1.0 - e*1.5,-0.43045543551109633,0.39389458656841914,1.9782833038123981
SigmoidLinear: σ(5n + c - 3e),-0.43148727689612365,0.360027333814019,2.035819118977124
Linear: n*0.8 + c*0.5 - e*0.8,-0.4345910978281906,0.39413877541072867,1.9749307975671573
Linear: n*1.5 + c*1.0 - e*1.1,-0.4348095695057287,0.3941480021124924,1.9747578772586085
Linear: n*1.0 + c*0.5 - e*1.5,-0.43540156830233584,0.3941711162448423,1.9742803348361206
Linear: n*1.5 + c*1.0 - e*0.8,-0.4396595359645229,0.3942524605373219,1.9730970731899498
Linear: n*1.0 + c*0.5 - e*1.1,-0.4405869118483553,0.3942500061846417,1.9728138689949843
Linear: n*1.1 + c*0.5 - e*1.5,-0.4435933055655181,0.39419205299372834,1.9717232236957898
Linear: n*1.0 + c*0.5 - e*0.8,-0.4462616186439915,0.39407908025881083,1.9704957410545134
Linear: n*1.1 + c*0.5 - e*1.1,-0.44784069709162855,0.39398800136885404,1.9700729866603308
Linear: n*1.3 + c*0.5 - e*1.5,-0.4487514719219342,0.39392873221089153,1.9697780505068625
Linear: n*1.5 + c*0.5 - e*1.5,-0.452077367857196,0.3936918807128318,1.9699545595129915
Linear: n*1.3 + c*0.5 - e*1.1,-0.4520773710540996,0.39369187870852573,1.969954556031651
Linear: n*1.1 + c*0.5 - e*0.8,-0.45207737597241204,0.39369187562497865,1.9699545506757428
Linear: n*1.5 + c*0.5 - e*1.1,-0.45460194598852305,0.3935524004357355,1.9711863129451985
Linear: n*1.3 + c*0.5 - e*0.8,-0.45508718145433064,0.39354289822404426,1.9708657697294367
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),-0.4560557145102015,0.37957700464711897,2.035842421088023
Linear: n*1.5 + c*0.5 - e*0.8,-0.4566365785864915,0.39362414285602376,1.9747851032853212
