Formula,Avg Pearson,Std Pearson,Avg MAE
Sigmoid: σ(5n) + c - σ(5e),0.26797767266694505,0.6321159529908893,1.6024506292718648
Sigmoid: σ(10n) + c - σ(10e),0.23296037040834494,0.6772336347565434,1.46684373438015
Linear: n*0.8 + c*1.5 - e*0.8,0.18879023730239805,0.6074605334371167,1.6751735345535632
Threshold: (n>0.3) + c - (e>0.3),0.18417652346543908,0.5196650412439956,1.8179729968085983
Sigmoid: σ(15n) + c - σ(15e),0.18286817215939208,0.7088198917990314,1.4592913515482904
Linear: n*0.8 + c*1.5 - e*1.1,0.16284539206911333,0.6037288370723909,1.7272704836743595
Threshold: (n>0.5) + c - (e>0.5),0.1378691551098362,0.48435121976424717,1.814676029846202
Linear: n*0.8 + c*1.5 - e*1.5,0.13257407049399647,0.5970504245601047,1.7970660320490324
Linear: n*1.0 + c*1.5 - e*0.8,0.12602219862376637,0.5967375350486595,1.80755850253131
Threshold: (n>0.7) + c - (e>0.7),0.10913016942897216,0.496970278961894,1.64810076503231
Linear: n*1.0 + c*1.5 - e*1.1,0.09191287727536743,0.6042574526846459,1.86621422670488
Linear: n*1.0 + c*1.5 - e*1.5,0.07704024282437505,0.6086059830555507,1.892573965393309
Linear: n*1.1 + c*1.5 - e*0.8,0.06727171464143775,0.6092171051606748,1.9246482980239676
Linear: n*1.1 + c*1.5 - e*1.1,0.06051918552987885,0.608085076085695,1.9511963461912079
Linear: n*1.1 + c*1.5 - e*1.5,0.05601104376975197,0.606585676979226,1.9705670512462015
Linear: n*0.8 + c*1.0 - e*0.8,0.05448897877088075,0.6059466051811128,1.9773909199994968
Linear: n*0.8 + c*1.0 - e*1.1,0.04982982701857332,0.6035831697423871,1.9983224880956443
Linear: n*0.8 + c*1.0 - e*1.5,0.046705105063529644,0.601662978060354,2.012756849135062
Linear: n*1.3 + c*1.5 - e*0.8,0.04579770614972793,0.6010563055478287,2.0170410477672647
Linear: n*1.3 + c*1.5 - e*1.1,0.04352609097048971,0.5994433399451399,2.0254696056448847
Linear: n*1.3 + c*1.5 - e*1.5,0.04183678296458444,0.5981582306186664,2.0317727300847985
Exp: n + c*exp(-2*e),0.037491303292547226,0.594798244558521,2.045101210144515
Linear: n*1.0 + c*1.0 - e*0.8,0.032791962771655324,0.5901188671871088,2.0663537054127037
Linear: n*1.0 + c*1.0 - e*1.1,0.03235806192599088,0.5896876217625489,2.068053530780899
Ratio: (n/(e+0.01)) + c,0.032337959823874274,0.5599123773713912,1.5791512883440741
Linear: n*1.0 + c*1.0 - e*1.5,0.03204698398183695,0.5893760670207056,2.069275153884894
Linear: n*1.5 + c*1.5 - e*0.8,0.030159557870007785,0.5874439503593062,2.076480655515817
Linear: n*1.5 + c*1.5 - e*1.1,0.030159548459868357,0.5874439609250959,2.0764806424358153
Linear: n*1.5 + c*1.5 - e*1.5,0.030159541245430806,0.5874439690255318,2.076480632407817
Linear: n*1.1 + c*1.0 - e*1.5,0.0195274817455514,0.5753857679795622,2.0771779819567566
Linear: n*1.1 + c*1.0 - e*1.1,0.017887532591962914,0.5733757665316322,2.074839251688115
Linear: n*1.1 + c*1.0 - e*0.8,0.015644144692770347,0.5705733952567165,2.0716548892692312
Quadratic: n² + c - e²,0.008766179527192558,0.5699011371577328,2.0486440404808173
Linear: n*1.3 + c*1.0 - e*1.5,0.008191306145786675,0.5609005877815878,2.0612363399498013
Linear: n*0.8 + c*0.5 - e*1.5,0.005105495868514992,0.5567676998952459,2.0556032224500127
Linear: n*1.3 + c*1.0 - e*1.1,0.004927889771492727,0.5565279974178421,2.0552587316686837
Linear: n*1.3 + c*1.0 - e*0.8,0.0004986153161450069,0.5504994845713542,2.046754087357945
Linear: n*0.8 + c*0.5 - e*1.1,0.0003108349176760672,0.5502420384024974,2.046397292616693
Linear: n*1.5 + c*1.0 - e*1.5,-0.002371331829052753,0.5465507124644017,2.0413350090662075
Linear: n*0.8 + c*0.5 - e*0.8,-0.006823064142276463,0.5403823255753718,2.0330759958762203
Linear: n*1.5 + c*1.0 - e*1.1,-0.007078663000363861,0.5400270540141986,2.0326072949356364
Linear: n*1.0 + c*0.5 - e*1.5,-0.007783005839763046,0.5390476933783402,2.03131876478436
Linear: n*1.5 + c*1.0 - e*0.8,-0.013429403899406089,0.5311843787852029,2.0211524347732146
Linear: n*1.0 + c*0.5 - e*1.1,-0.014820112429298316,0.5292477021144363,2.018692771786346
Linear: n*1.1 + c*0.5 - e*1.5,-0.019847795486020454,0.5222609259017719,2.0099438818423248
SigmoidLinear: σ(5n + c - 3e),-0.02009179802627019,0.49857708774350945,2.083354563790789
Linear: n*1.0 + c*0.5 - e*0.8,-0.02517460932796432,0.5149046454556705,2.000871690479638
Linear: n*1.1 + c*0.5 - e*1.1,-0.028854515235318123,0.5098634224295256,1.9941343973136885
Linear: n*1.3 + c*0.5 - e*1.5,-0.031208953071502933,0.5066592303284781,1.9904453631615986
Linear: n*1.1 + c*0.5 - e*0.8,-0.041922071751222256,0.4923329706319573,1.973580622988991
Linear: n*1.3 + c*0.5 - e*1.1,-0.04192207575965578,0.49233297532542175,1.9735806305509684
Linear: n*1.5 + c*0.5 - e*1.5,-0.04192207836513734,0.4923329783761731,1.9735806354662546
Linear: n*1.5 + c*0.5 - e*1.1,-0.054084532464543165,0.47667161363041943,1.9560860458728235
Interaction: n + (n*c) - e,-0.054843929053759975,0.46491518616702504,1.967506780073612
Linear: n*1.3 + c*0.5 - e*0.8,-0.05721033294571435,0.47276320240050573,1.9518737833938995
Linear: n*1.5 + c*0.5 - e*0.8,-0.07113338132684903,0.4559804234864318,1.9372436508961655
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),-0.0947035191707071,0.45856193182643656,1.9984912558020198
