Formula,Avg Pearson,Std Pearson,Avg MAE
Threshold: (n>0.7) + c - (e>0.7),-0.17282867414512404,0.5861133749218104,1.7739081588285264
Threshold: (n>0.5) + c - (e>0.5),-0.21499434240747634,0.6227253659792246,1.9797399994773275
Sigmoid: σ(5n) + c - σ(5e),-0.2584024073124916,0.6605771275811222,1.784506409820945
Threshold: (n>0.3) + c - (e>0.3),-0.2604785712768565,0.6132659631194411,1.8798251210228365
Sigmoid: σ(10n) + c - σ(10e),-0.2612905030272146,0.6525532864734375,1.8617298146861714
Linear: n*0.8 + c*1.5 - e*0.8,-0.2633963178878833,0.6638941889767261,1.773419372633959
Linear: n*0.8 + c*1.5 - e*1.1,-0.2634892931916947,0.6654034861578951,1.778567215201583
Linear: n*0.8 + c*1.5 - e*1.5,-0.2639304895045362,0.6660593572285647,1.7810614550973192
Linear: n*1.0 + c*1.5 - e*0.8,-0.26403899620504584,0.6661249930726463,1.781409374466469
Linear: n*1.0 + c*1.5 - e*1.1,-0.26492870250559397,0.6662648453568654,1.7831226336312451
Sigmoid: σ(15n) + c - σ(15e),-0.26542517477312866,0.6464038325569024,1.8972285431264233
Linear: n*1.0 + c*1.5 - e*1.5,-0.26594415340333133,0.6660785311103555,1.7840507859332333
Linear: n*1.1 + c*1.5 - e*0.8,-0.26730590264386467,0.6656424522347825,1.7845795401425093
Linear: n*1.1 + c*1.5 - e*1.1,-0.268876694193703,0.6650547312145404,1.786712860385841
Linear: n*1.1 + c*1.5 - e*1.5,-0.27037260542998,0.6644837312497456,1.7896671819482066
Linear: n*0.8 + c*1.0 - e*0.8,-0.2709836376482302,0.664255132842962,1.7907109334118725
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),-0.2725046692075486,0.6248661372631062,1.9354440295174615
Linear: n*0.8 + c*1.0 - e*1.1,-0.2732683951160927,0.6634465788068302,1.7949998737503883
Linear: n*0.8 + c*1.0 - e*1.5,-0.275209914121204,0.6628306190790704,1.8005888727866968
Linear: n*1.3 + c*1.5 - e*0.8,-0.2758409745106258,0.6626455704400506,1.8023614891906736
Linear: n*1.3 + c*1.5 - e*1.1,-0.27755031891650056,0.6621811295643071,1.807150822525579
Linear: n*1.3 + c*1.5 - e*1.5,-0.2789270688680492,0.661843548074589,1.811083843270087
Linear: n*1.0 + c*1.0 - e*0.8,-0.28592664805969464,0.6601864234171658,1.8318562446638886
Linear: n*1.0 + c*1.0 - e*1.1,-0.2861453338250973,0.6600942683674513,1.8318239833127241
Linear: n*1.0 + c*1.0 - e*1.5,-0.2862914677157075,0.6600260053027812,1.8318029039866786
Linear: n*1.5 + c*1.5 - e*0.8,-0.2869869044025609,0.6595685323108951,1.8310412552272577
Linear: n*1.5 + c*1.5 - e*1.1,-0.2869869103500574,0.6595685339885949,1.831041260352848
Linear: n*1.5 + c*1.5 - e*1.5,-0.28698691490980477,0.6595685352748321,1.8310412642824683
Linear: n*1.1 + c*1.0 - e*0.8,-0.2870145450922962,0.654287611413058,1.8307020250020354
Linear: n*1.1 + c*1.0 - e*1.1,-0.2870830989089569,0.6552161509500698,1.8362038514192736
SigmoidLinear: σ(5n + c - 3e),-0.2871407989338734,0.6018710900000143,1.8591333273646842
Linear: n*1.1 + c*1.0 - e*1.5,-0.28717569991113956,0.6558770027760212,1.8351677960206945
Linear: n*1.3 + c*1.0 - e*1.5,-0.2873855415896883,0.6509880649740126,1.8166759903489833
Quadratic: n² + c - e²,-0.28760000774517513,0.6586678255059478,1.817060777539315
Linear: n*0.8 + c*0.5 - e*1.5,-0.2878023163596813,0.6495188834639442,1.8119901077062746
Linear: n*1.3 + c*1.0 - e*1.1,-0.2878305371447674,0.6494324459481023,1.8117333803441746
Exp: n + c*exp(-2*e),-0.2881057150171264,0.6571812452463841,1.8342256329829634
Linear: n*1.3 + c*1.0 - e*0.8,-0.28866972755404774,0.6472125770502587,1.8060146431517161
Linear: n*0.8 + c*0.5 - e*1.1,-0.28871070170695756,0.6471157937743169,1.8057880828097947
Linear: n*1.5 + c*1.0 - e*1.5,-0.2893392878070119,0.6457103839866399,1.8026486165904327
Linear: n*0.8 + c*0.5 - e*0.8,-0.2905445542223755,0.6432886362883917,1.7977255618702237
Linear: n*1.5 + c*1.0 - e*1.1,-0.2906192942989027,0.6431464219184638,1.7974259272927042
Linear: n*1.0 + c*0.5 - e*1.5,-0.2908281385950279,0.642752861013653,1.7966059017795195
Linear: n*1.5 + c*1.0 - e*0.8,-0.29264249348020754,0.6395145902687409,1.7910630613461094
Linear: n*1.0 + c*0.5 - e*1.1,-0.2931237957508931,0.6386963243632199,1.7899549408096977
Linear: n*1.1 + c*0.5 - e*1.5,-0.2949600793395986,0.6356800914357907,1.786098117941608
Linear: n*1.0 + c*0.5 - e*0.8,-0.29704594505871584,0.632401520021655,1.7829137379490358
Linear: n*1.1 + c*0.5 - e*1.1,-0.2985561278794018,0.6300977499295191,1.780949452630424
Linear: n*1.3 + c*0.5 - e*1.5,-0.2995474936281541,0.628610602325208,1.7797240967375239
Linear: n*1.1 + c*0.5 - e*0.8,-0.30425131766719216,0.6217575936077505,1.777520780841795
Linear: n*1.3 + c*0.5 - e*1.1,-0.3042513186250325,0.6217575937579483,1.7775207833119393
Linear: n*1.5 + c*0.5 - e*1.5,-0.30425131924762866,0.6217575938555767,1.7775207849175327
Linear: n*1.5 + c*0.5 - e*1.1,-0.3098448571173903,0.6139091131379253,1.77659273337262
Linear: n*1.3 + c*0.5 - e*0.8,-0.31130769888284293,0.6118939362044636,1.7764141921810979
Linear: n*1.5 + c*0.5 - e*0.8,-0.31787678300444433,0.6029719726084721,1.7759115616794745
Interaction: n + (n*c) - e,-0.32396041257872155,0.5950498831509524,1.8023620088636203
Ratio: (n/(e+0.01)) + c,-0.34304277904806696,0.5666384287980714,2.0299137423295677
