Formula,Avg Pearson,Std Pearson,Avg MAE
Threshold: (n>0.5) + c - (e>0.5),-0.0720945513550742,0.5137157934001847,1.9776053144054515
Sigmoid: σ(15n) + c - σ(15e),-0.09596123785975658,0.5063768199888045,1.6284092456895454
Linear: n*0.8 + c*1.5 - e*0.8,-0.09998383178664583,0.5243288108667983,1.7141674655316144
Linear: n*0.8 + c*1.5 - e*1.1,-0.1005584483320688,0.5212804213181822,1.7239367316329446
Linear: n*0.8 + c*1.5 - e*1.5,-0.10155939531857217,0.5181011052289513,1.7332513383175496
Linear: n*1.0 + c*1.5 - e*0.8,-0.1017847756600638,0.5174968948325025,1.7349426777689658
Linear: n*1.0 + c*1.5 - e*1.1,-0.10357355050697384,0.5133621080025969,1.7464854887525927
Sigmoid: σ(10n) + c - σ(10e),-0.1039501492375936,0.5235021964196701,1.6228154286010192
Linear: n*1.0 + c*1.5 - e*1.5,-0.10560419160891385,0.5094583851864902,1.7551707511806949
Sigmoid: σ(5n) + c - σ(5e),-0.10755453487816624,0.5274276539084819,1.6796977806326123
Linear: n*1.1 + c*1.5 - e*0.8,-0.10840227799849851,0.5048050953320752,1.7629351522997507
Linear: n*1.1 + c*1.5 - e*1.1,-0.11180526484797397,0.4998395642913075,1.770153916104969
Linear: n*1.1 + c*1.5 - e*1.5,-0.11528780519571458,0.49529018440570677,1.7758634074709583
Linear: n*0.8 + c*1.0 - e*0.8,-0.11679551901397663,0.49345131925367813,1.7786072331119656
Linear: n*0.8 + c*1.0 - e*1.1,-0.1230008287880788,0.4865635202246074,1.790367509422999
Linear: n*0.8 + c*1.0 - e*1.5,-0.12919744641315803,0.4806448419116271,1.7981792862197417
Linear: n*1.3 + c*1.5 - e*0.8,-0.13144541910499064,0.4787200235300176,1.8005360707580802
Linear: n*1.3 + c*1.5 - e*1.1,-0.13823703590066957,0.4736098807138718,1.8067091414626137
Linear: n*1.3 + c*1.5 - e*1.5,-0.1445705607028997,0.46978116300552386,1.8127817849966192
Threshold: (n>0.3) + c - (e>0.3),-0.14478604082871924,0.5247481336796488,1.894738661978974
Linear: n*1.0 + c*1.0 - e*0.8,-0.20463907327061692,0.4354462651534916,1.9220103996647466
Linear: n*1.0 + c*1.0 - e*1.1,-0.2112957026861598,0.42923292052020007,1.9279629472037267
Linear: n*1.0 + c*1.0 - e*1.5,-0.21656498196455126,0.4249073829852387,1.9311156509619487
Threshold: (n>0.7) + c - (e>0.7),-0.21981484729483824,0.47820411156737697,1.933841963557813
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),-0.23833634480294502,0.4134586421536575,2.1063161548732476
Linear: n*1.5 + c*1.5 - e*0.8,-0.24846504368309213,0.4157616826683178,1.9727690181182755
Linear: n*1.5 + c*1.5 - e*1.1,-0.24846504785907544,0.4157616977102044,1.9727690533501143
Linear: n*1.5 + c*1.5 - e*1.5,-0.24846505106063024,0.4157617092423163,1.9727690803612579
Ratio: (n/(e+0.01)) + c,-0.2516144244671546,0.32453628735221257,1.8393532878453762
SigmoidLinear: σ(5n + c - 3e),-0.26084356010084,0.4083963752685242,2.127622610973261
