Formula,Avg Pearson,Std Pearson,Avg MAE
Threshold: (n>0.5) + c - (e>0.5),0.4340889156376543,0.28392778929741425,1.462778934235697
Threshold: (n>0.3) + c - (e>0.3),0.2723422701119988,0.44973122798651316,1.504375049899073
Threshold: (n>0.7) + c - (e>0.7),0.1953899062108639,0.5142562972251631,1.545283474677572
Sigmoid: σ(5n) + c - σ(5e),0.15828087461395285,0.4893725481264745,1.4734913939686376
Linear: n*0.8 + c*1.5 - e*0.8,0.13611762260002375,0.4696884385304268,1.5040786329863503
Sigmoid: σ(10n) + c - σ(10e),0.13165527914157235,0.5349546712954224,1.5151086584397542
Linear: n*0.8 + c*1.5 - e*1.1,0.13026622161488888,0.4670392698919909,1.5102473875656692
Linear: n*0.8 + c*1.5 - e*1.5,0.12617995862687204,0.4645981736662114,1.5171861835074993
Linear: n*1.0 + c*1.5 - e*0.8,0.12554209649491277,0.46415120458075776,1.5184137537393196
Linear: n*1.0 + c*1.5 - e*1.1,0.12195348579340466,0.4611458066415991,1.5249823823282302
Linear: n*1.0 + c*1.5 - e*1.5,0.11940820420939706,0.45830278828145954,1.5296350473007891
Linear: n*1.1 + c*1.5 - e*0.8,0.116941468512296,0.4547816834789686,1.5333526814743197
Sigmoid: σ(15n) + c - σ(15e),0.1152471858351454,0.5686837383137693,1.5449036933557443
Linear: n*1.1 + c*1.5 - e*1.1,0.11443378072866865,0.45067156650142437,1.5355436865526277
Linear: n*1.1 + c*1.5 - e*1.5,0.11147723011413206,0.4462228300026136,1.5377453182124676
Linear: n*0.8 + c*1.0 - e*0.8,0.10977349182796803,0.4440893567586303,1.5382567659042494
Linear: n*0.8 + c*1.0 - e*1.1,0.0935448354991643,0.43452664240947314,1.5410904808393666
Interaction: n + (n*c) - e,0.09092938116144314,0.4712608201643635,1.5883756344002014
SigmoidLinear: σ(5n + c - 3e),0.09027068952089567,0.44618553366645614,1.7383495593885674
Linear: n*1.3 + c*1.0 - e*0.8,0.07730599431748918,0.4637859418464959,1.5926167485390343
Linear: n*0.8 + c*0.5 - e*1.1,0.07730006761786352,0.4638773020490465,1.5925712103286487
Linear: n*1.3 + c*1.0 - e*1.1,0.07713597040080047,0.4614291613211641,1.5935774632630983
Linear: n*1.5 + c*1.0 - e*1.5,0.0771168882773269,0.46510641493438326,1.5921639731005643
Linear: n*0.8 + c*0.5 - e*1.5,0.07711544914278054,0.4613269208417677,1.5936080546453146
Linear: n*1.3 + c*1.0 - e*1.5,0.07656470650133697,0.4594719940860946,1.5941476847868832
Linear: n*0.8 + c*0.5 - e*0.8,0.07647167464842228,0.4668493150012622,1.5931903887669072
Linear: n*1.5 + c*1.0 - e*1.1,0.07642398293632045,0.46693901940028193,1.593303687485906
Linear: n*1.0 + c*0.5 - e*1.5,0.07628739918090785,0.46718078940322283,1.593621283948977
Linear: n*1.5 + c*1.0 - e*0.8,0.07496408524029904,0.46886112676068964,1.5964007125462398
Linear: n*1.0 + c*0.5 - e*1.1,0.07458829823913174,0.4692134368917397,1.5971352417944038
Linear: n*1.1 + c*1.0 - e*0.8,0.07349773660728287,0.45483939104078336,1.59581628129908
Linear: n*1.1 + c*0.5 - e*1.5,0.0731163849366416,0.4703252085345514,1.5995692916540578
Linear: n*1.1 + c*1.0 - e*1.1,0.0720641069094132,0.45365510830379213,1.5964469027661576
