Formula,Avg Pearson,Std Pearson,Avg MAE
Threshold: (n>0.3) + c - (e>0.3),-0.10608122020626945,0.5735608594914393,1.854726985193345
Sigmoid: σ(5n) + c - σ(5e),-0.1415723154916845,0.629936990818429,1.7685426825540573
Sigmoid: σ(10n) + c - σ(10e),-0.15553128293524937,0.6276690324238148,1.7005374456741038
Sigmoid: σ(15n) + c - σ(15e),-0.16576115738808261,0.6130806014057067,1.6758546448328304
Linear: n*0.8 + c*1.5 - e*0.8,-0.1687035615504869,0.6437031372406721,1.7483296248102067
Linear: n*0.8 + c*1.5 - e*1.1,-0.18245077928646874,0.6351603171982315,1.7733012708594469
Linear: n*0.8 + c*1.5 - e*1.5,-0.20357750333246538,0.6128066779766411,1.8182357177930275
Linear: n*1.0 + c*1.5 - e*0.8,-0.20815321786256263,0.6079963557305346,1.8257412459728635
Linear: n*1.0 + c*1.5 - e*1.1,-0.23766837847912256,0.5819102632157411,1.8653984380854602
Linear: n*1.0 + c*1.5 - e*1.5,-0.258819723476977,0.5681663233816556,1.9012877487109763
Threshold: (n>0.5) + c - (e>0.5),-0.26045251783063184,0.46448392526905813,1.9370373178121387
Linear: n*1.1 + c*1.5 - e*0.8,-0.27759013719691433,0.5569190040361403,1.937298661040516
Threshold: (n>0.7) + c - (e>0.7),-0.2868846724188599,0.38957391750392295,1.99578832669521
Linear: n*1.1 + c*1.5 - e*1.1,-0.29332587191612536,0.546398693763838,1.9565516083554495
Linear: n*1.1 + c*1.5 - e*1.5,-0.305400136767521,0.5371469974347616,1.9711889075717042
Linear: n*0.8 + c*1.0 - e*0.8,-0.30980814828897135,0.5334878902224176,1.974146057164387
Linear: n*0.8 + c*1.0 - e*1.1,-0.32446513778071223,0.5201658903488346,1.9808814895159608
Linear: n*0.8 + c*1.0 - e*1.5,-0.33538167576186273,0.5089491956226221,1.9901614877341516
Linear: n*1.3 + c*1.5 - e*0.8,-0.33874226767852483,0.5052485975882051,1.9950613972114966
SigmoidLinear: σ(5n + c - 3e),-0.34142647272884447,0.421910547003176,2.1746576034600578
Linear: n*1.3 + c*1.5 - e*1.1,-0.34763434261516907,0.49491873776583406,2.008942001211027
Linear: n*1.3 + c*1.5 - e*1.5,-0.3548480752145164,0.4861222387749079,2.0232990791957604
Piecewise: n*1.5*(n>0.5) + c - e*1.2*(e>0.2),-0.3564812800980134,0.44072340334500215,2.159901912695634
Ratio: (n/(e+0.01)) + c,-0.36345174175982825,0.3875311692052192,1.8530825799188022
Linear: n*1.5 + c*0.5 - e*0.8,-0.37546790043820016,0.41452805672924986,1.9929221494312646
Linear: n*1.3 + c*0.5 - e*0.8,-0.38581531251640494,0.4115420807402889,2.006916522779311
Linear: n*1.5 + c*0.5 - e*1.1,-0.38823605137724687,0.4108704437227879,2.0112340827212756
Interaction: n + (n*c) - e,-0.3964108866121993,0.42314660847866076,2.097146888739208
Linear: n*1.5 + c*0.5 - e*1.5,-0.39804370548245,0.40832813580282973,2.0283977621207283
Linear: n*1.3 + c*0.5 - e*1.1,-0.39804370746523954,0.40832813463522455,2.0283977594166256
Linear: n*1.1 + c*0.5 - e*0.8,-0.39804371051568416,0.40832813283890956,2.02839775525647
Linear: n*1.3 + c*0.5 - e*1.5,-0.40726935124138935,0.4063531640005537,2.043067003168163
Linear: n*1.1 + c*0.5 - e*1.1,-0.4093824717195296,0.40598319381855186,2.046191339767115
Linear: n*1.0 + c*0.5 - e*0.8,-0.41275486171803355,0.40547167006943396,2.051261562471196
Linear: n*1.1 + c*0.5 - e*1.5,-0.41780225580380925,0.4049111822830683,2.059548440245094
Linear: n*1.0 + c*1.0 - e*0.8,-0.41785351395956366,0.43022700624980204,2.159904588227937
Linear: n*1.0 + c*0.5 - e*1.1,-0.4227710308499801,0.4046277497005953,2.068333957627633
Linear: n*1.0 + c*1.0 - e*1.1,-0.42287408083516853,0.4273634966048437,2.170950215954535
Linear: n*1.5 + c*1.0 - e*0.8,-0.42418478577636154,0.40459833754812546,2.070899251828968
Linear: n*1.0 + c*1.0 - e*1.5,-0.42672762142353104,0.42525672061189507,2.1794978306033164
Linear: n*1.0 + c*0.5 - e*1.5,-0.43012167306335086,0.4047201990509144,2.0825102033275398
Linear: n*1.5 + c*1.0 - e*1.1,-0.43088597972119214,0.4047633683916215,2.084331608256543
Linear: n*0.8 + c*0.5 - e*0.8,-0.4311647160221793,0.4047805716405729,2.0849989943531115
Exp: n + c*exp(-2*e),-0.43444840830850956,0.4323900335273568,2.1530474867861447
Linear: n*1.5 + c*1.0 - e*1.5,-0.4361400298140962,0.40520681232195765,2.0972196012785944
Linear: n*0.8 + c*0.5 - e*1.1,-0.4392500378249921,0.40556837744595203,2.1030296925404346
Linear: n*1.3 + c*1.0 - e*0.8,-0.43947090008033535,0.4055961907853504,2.1035741579665386
Linear: n*1.3 + c*1.0 - e*1.1,-0.44479252606139497,0.40632285963584747,2.1169616105424818
Linear: n*0.8 + c*0.5 - e*1.5,-0.44501004706126085,0.40635411564973983,2.11752222955774
Linear: n*1.3 + c*1.0 - e*1.5,-0.44882944313702283,0.40691086227252615,2.1274972344626653
Linear: n*1.5 + c*1.5 - e*0.8,-0.45563816245034616,0.4172062484450777,2.2133645002120073
Linear: n*1.5 + c*1.5 - e*1.1,-0.4556381962409632,0.41720624479175455,2.2133645515472264
Linear: n*1.5 + c*1.5 - e*1.5,-0.4556382221470717,0.4172062419909031,2.213364590904222
Quadratic: n² + c - e²,-0.45821427021528455,0.3915745563229014,2.0898934963866345
Linear: n*1.1 + c*1.0 - e*0.8,-0.45824914986687826,0.40851124205727063,2.144396609103775
Linear: n*1.1 + c*1.0 - e*1.1,-0.46116316967153137,0.40935277085885247,2.1504976280817445
Linear: n*1.1 + c*1.0 - e*1.5,-0.46337935971039856,0.41028264235006434,2.155171810190337
